date,product,region,sales_channel,quantity,unit_price,revenue,cost,profit,profit_margin
2024-10-30,Monitor 27inch,South America,Retail,8,399.99,3199.92,2000.0,1199.92,37.5
2024-10-30,HD Webcam,Asia,Partner,27,89.99,2429.73,1215.0,1214.73,49.99
2024-10-31,Portable SSD 1TB,North America,Retail,42,129.99,5459.58,3360.0,2099.58,38.46
2024-11-02,HD Webcam,Australia,Partner,52,89.99,4679.48,2340.0,2339.48,49.99
2024-11-03,Portable SSD 1TB,South America,Retail,33,129.99,4289.67,2640.0,1649.67,38.46
2024-11-04,USB-C Hub,North America,Partner,57,49.99,2849.43,1254.0,1595.43,55.99
2024-11-04,Noise-Canceling Headphones,Europe,Enterprise,58,299.99,17399.42,8700.0,8699.42,50.0
2024-11-04,Ergonomic Chair,South America,Enterprise,28,449.99,12599.72,7840.0,4759.72,37.78
2024-11-04,Desk Lamp LED,Australia,Partner,63,39.99,2519.37,1134.0,1385.37,54.99
2024-11-04,Portable SSD 1TB,Asia,Retail,48,129.99,6239.52,3840.0,2399.52,38.46
2024-11-06,Mechanical Keyboard,Australia,Enterprise,7,149.99,1049.93,525.0,524.93,50.0
2024-11-06,HD Webcam,South America,Online,37,89.99,3329.63,1665.0,1664.63,49.99
2024-11-07,Portable SSD 1TB,Asia,Retail,70,129.99,9099.3,5600.0,3499.3,38.46
2024-11-07,HD Webcam,Australia,Online,46,89.99,4139.54,2070.0,2069.54,49.99
2024-11-08,Noise-Canceling Headphones,South America,Enterprise,28,299.99,8399.72,4200.0,4199.72,50.0
2024-11-08,Laptop Pro,North America,Enterprise,30,1299.99,38999.7,28500.0,10499.7,26.92
2024-11-09,Laptop Pro,Europe,Enterprise,46,1299.99,59799.54,43700.0,16099.54,26.92
2024-11-09,Desk Lamp LED,North America,Retail,73,39.99,2919.27,1314.0,1605.27,54.99
2024-11-09,Wireless Mouse,Asia,Online,43,29.99,1289.57,516.0,773.57,59.99
2024-11-09,Mechanical Keyboard,Asia,Retail,36,149.99,5399.64,2700.0,2699.64,50.0
2024-11-10,Mechanical Keyboard,Europe,Retail,46,149.99,6899.54,3450.0,3449.54,50.0
2024-11-10,Wireless Mouse,South America,Retail,57,29.99,1709.43,684.0,1025.43,59.99
2024-11-10,Portable SSD 1TB,Asia,Enterprise,18,129.99,2339.82,1440.0,899.82,38.46
2024-11-12,HD Webcam,Asia,Enterprise,52,89.99,4679.48,2340.0,2339.48,49.99
2024-11-12,HD Webcam,North America,Partner,43,89.99,3869.57,1935.0,1934.57,49.99
2024-11-13,Desk Lamp LED,North America,Retail,45,39.99,1799.55,810.0,989.55,54.99
2024-11-13,Mechanical Keyboard,Asia,Partner,67,149.99,10049.33,5025.0,5024.33,50.0
2024-11-13,Ergonomic Chair,Europe,Partner,34,449.99,15299.66,9520.0,5779.66,37.78
2024-11-13,Laptop Pro,Australia,Enterprise,73,1299.99,94899.27,69350.0,25549.27,26.92
2024-11-14,Laptop Pro,North America,Retail,66,1299.99,85799.34,62700.0,23099.34,26.92
2024-11-15,Monitor 27inch,South America,Enterprise,40,399.99,15999.6,10000.0,5999.6,37.5
2024-11-16,Noise-Canceling Headphones,South America,Online,1,299.99,299.99,150.0,149.99,50.0
2024-11-17,Portable SSD 1TB,Europe,Partner,3,129.99,389.97,240.0,149.97,38.46
2024-11-17,Portable SSD 1TB,North America,Enterprise,34,129.99,4419.66,2720.0,1699.66,38.46
2024-11-18,Noise-Canceling Headphones,Asia,Partner,36,299.99,10799.64,5400.0,5399.64,50.0
2024-11-18,Monitor 27inch,Australia,Online,52,399.99,20799.48,13000.0,7799.48,37.5
2024-11-20,Wireless Mouse,North America,Partner,75,29.99,2249.25,900.0,1349.25,59.99
2024-11-22,Portable SSD 1TB,North America,Retail,55,129.99,7149.45,4400.0,2749.45,38.46
2024-11-22,Desk Lamp LED,North America,Enterprise,27,39.99,1079.73,486.0,593.73,54.99
2024-11-23,Monitor 27inch,South America,Retail,75,399.99,29999.25,18750.0,11249.25,37.5
2024-11-24,USB-C Hub,Asia,Online,33,49.99,1649.67,726.0,923.67,55.99
2024-11-25,Portable SSD 1TB,Australia,Retail,72,129.99,9359.28,5760.0,3599.28,38.46
2024-11-27,Monitor 27inch,North America,Online,37,399.99,14799.63,9250.0,5549.63,37.5
2024-11-27,Monitor 27inch,Europe,Partner,61,399.99,24399.39,15250.0,9149.39,37.5
2024-11-29,HD Webcam,Europe,Online,40,89.99,3599.6,1800.0,1799.6,49.99
2024-11-30,Laptop Pro,South America,Online,63,1299.99,81899.37,59850.0,22049.37,26.92
2024-11-30,Noise-Canceling Headphones,Australia,Online,25,299.99,7499.75,3750.0,3749.75,50.0
2024-11-30,Monitor 27inch,South America,Enterprise,33,399.99,13199.67,8250.0,4949.67,37.5
2024-12-03,Portable SSD 1TB,Asia,Enterprise,27,129.99,3509.73,2160.0,1349.73,38.46
2024-12-04,HD Webcam,Europe,Retail,66,89.99,5939.34,2970.0,2969.34,49.99
2024-12-05,Monitor 27inch,Australia,Retail,10,399.99,3999.9,2500.0,1499.9,37.5
2024-12-05,USB-C Hub,North America,Partner,55,49.99,2749.45,1210.0,1539.45,55.99
2024-12-06,Monitor 27inch,South America,Enterprise,48,399.99,19199.52,12000.0,7199.52,37.5
2024-12-06,Ergonomic Chair,Asia,Retail,52,449.99,23399.48,14560.0,8839.48,37.78
2024-12-07,Monitor 27inch,North America,Partner,4,399.99,1599.96,1000.0,599.96,37.5
2024-12-10,HD Webcam,North America,Partner,69,89.99,6209.31,3105.0,3104.31,49.99
2024-12-10,Ergonomic Chair,Asia,Online,10,449.99,4499.9,2800.0,1699.9,37.78
2024-12-10,Wireless Mouse,North America,Partner,7,29.99,209.93,84.0,125.93,59.99
2024-12-10,Noise-Canceling Headphones,Europe,Enterprise,43,299.99,12899.57,6450.0,6449.57,50.0
2024-12-11,Noise-Canceling Headphones,Europe,Retail,54,299.99,16199.46,8100.0,8099.46,50.0
2024-12-12,Desk Lamp LED,Europe,Retail,54,39.99,2159.46,972.0,1187.46,54.99
2024-12-13,Ergonomic Chair,South America,Retail,10,449.99,4499.9,2800.0,1699.9,37.78
2024-12-13,Laptop Pro,North America,Enterprise,73,1299.99,94899.27,69350.0,25549.27,26.92
2024-12-13,Ergonomic Chair,Asia,Online,22,449.99,9899.78,6160.0,3739.78,37.78
2024-12-13,USB-C Hub,Asia,Online,18,49.99,899.82,396.0,503.82,55.99
2024-12-14,Desk Lamp LED,South America,Partner,52,39.99,2079.48,936.0,1143.48,54.99
2024-12-15,Wireless Mouse,Europe,Partner,58,29.99,1739.42,696.0,1043.42,59.99
2024-12-15,Mechanical Keyboard,North America,Enterprise,63,149.99,9449.37,4725.0,4724.37,50.0
2024-12-15,Ergonomic Chair,North America,Partner,54,449.99,24299.46,15120.0,9179.46,37.78
2024-12-15,Desk Lamp LED,Australia,Enterprise,7,39.99,279.93,126.0,153.93,54.99
2024-12-16,Monitor 27inch,South America,Online,37,399.99,14799.63,9250.0,5549.63,37.5
2024-12-16,Portable SSD 1TB,Europe,Retail,28,129.99,3639.72,2240.0,1399.72,38.46
2024-12-16,USB-C Hub,Asia,Partner,24,49.99,1199.76,528.0,671.76,55.99
2024-12-17,Portable SSD 1TB,South America,Enterprise,19,129.99,2469.81,1520.0,949.81,38.46
2024-12-17,Wireless Mouse,Europe,Online,3,29.99,89.97,36.0,53.97,59.99
2024-12-17,Ergonomic Chair,Asia,Partner,7,449.99,3149.93,1960.0,1189.93,37.78
2024-12-19,Portable SSD 1TB,Asia,Online,70,129.99,9099.3,5600.0,3499.3,38.46
2024-12-19,USB-C Hub,Europe,Online,22,49.99,1099.78,484.0,615.78,55.99
2024-12-20,Noise-Canceling Headphones,North America,Partner,37,299.99,11099.63,5550.0,5549.63,50.0
2024-12-25,Portable SSD 1TB,Australia,Retail,49,129.99,6369.51,3920.0,2449.51,38.46
2024-12-26,Portable SSD 1TB,South America,Partner,61,129.99,7929.39,4880.0,3049.39,38.46
2024-12-26,USB-C Hub,Australia,Retail,12,49.99,599.88,264.0,335.88,55.99
2024-12-27,Ergonomic Chair,Europe,Enterprise,36,449.99,16199.64,10080.0,6119.64,37.78
2024-12-27,Portable SSD 1TB,South America,Online,28,129.99,3639.72,2240.0,1399.72,38.46
2024-12-28,Laptop Pro,South America,Online,13,1299.99,16899.87,12350.0,4549.87,26.92
2024-12-29,Noise-Canceling Headphones,Europe,Online,22,299.99,6599.78,3300.0,3299.78,50.0
2024-12-29,Portable SSD 1TB,South America,Partner,34,129.99,4419.66,2720.0,1699.66,38.46
2024-12-29,Noise-Canceling Headphones,Australia,Enterprise,58,299.99,17399.42,8700.0,8699.42,50.0
2024-12-29,Wireless Mouse,North America,Enterprise,36,29.99,1079.64,432.0,647.64,59.99
2024-12-30,Laptop Pro,Australia,Enterprise,24,1299.99,31199.76,22800.0,8399.76,26.92
2025-01-01,Wireless Mouse,North America,Enterprise,42,29.99,1259.58,504.0,755.58,59.99
2025-01-03,Desk Lamp LED,South America,Partner,28,39.99,1119.72,504.0,615.72,54.99
2025-01-04,Monitor 27inch,Asia,Online,25,399.99,9999.75,6250.0,3749.75,37.5
2025-01-05,Ergonomic Chair,Europe,Online,15,449.99,6749.85,4200.0,2549.85,37.78
2025-01-06,Noise-Canceling Headphones,South America,Retail,17,299.99,5099.83,2550.0,2549.83,50.0
2025-01-07,Portable SSD 1TB,North America,Enterprise,16,129.99,2079.84,1280.0,799.84,38.46
2025-01-07,Mechanical Keyboard,North America,Retail,32,149.99,4799.68,2400.0,2399.68,50.0
2025-01-08,Wireless Mouse,South America,Partner,24,29.99,719.76,288.0,431.76,59.99
2025-01-08,Laptop Pro,Australia,Partner,7,1299.99,9099.93,6650.0,2449.93,26.92
2025-01-08,Portable SSD 1TB,Australia,Online,4,129.99,519.96,320.0,199.96,38.46
2025-01-08,Monitor 27inch,Asia,Retail,29,399.99,11599.71,7250.0,4349.71,37.5
2025-01-09,Laptop Pro,Asia,Partner,42,1299.99,54599.58,39900.0,14699.58,26.92
2025-01-10,Noise-Canceling Headphones,Europe,Partner,40,299.99,11999.6,6000.0,5999.6,50.0
2025-01-10,Noise-Canceling Headphones,Australia,Online,43,299.99,12899.57,6450.0,6449.57,50.0
2025-01-11,Mechanical Keyboard,Asia,Partner,28,149.99,4199.72,2100.0,2099.72,50.0
2025-01-12,Mechanical Keyboard,Europe,Partner,46,149.99,6899.54,3450.0,3449.54,50.0
2025-01-12,Mechanical Keyboard,Europe,Partner,23,149.99,3449.77,1725.0,1724.77,50.0
2025-01-14,Mechanical Keyboard,Europe,Partner,23,149.99,3449.77,1725.0,1724.77,50.0
2025-01-14,Mechanical Keyboard,North America,Enterprise,5,149.99,749.95,375.0,374.95,50.0
2025-01-15,Noise-Canceling Headphones,South America,Retail,38,299.99,11399.62,5700.0,5699.62,50.0
2025-01-15,Mechanical Keyboard,Europe,Partner,6,149.99,899.94,450.0,449.94,50.0
2025-01-16,Noise-Canceling Headphones,South America,Partner,10,299.99,2999.9,1500.0,1499.9,50.0
2025-01-16,USB-C Hub,South America,Enterprise,34,49.99,1699.66,748.0,951.66,55.99
2025-01-16,Desk Lamp LED,South America,Online,15,39.99,599.85,270.0,329.85,54.99
2025-01-16,Monitor 27inch,Asia,Partner,15,399.99,5999.85,3750.0,2249.85,37.5
2025-01-17,USB-C Hub,Europe,Online,44,49.99,2199.56,968.0,1231.56,55.99
2025-01-19,Noise-Canceling Headphones,Australia,Enterprise,30,299.99,8999.7,4500.0,4499.7,50.0
2025-01-20,USB-C Hub,Asia,Online,38,49.99,1899.62,836.0,1063.62,55.99
2025-01-20,Portable SSD 1TB,Europe,Enterprise,47,129.99,6109.53,3760.0,2349.53,38.46
2025-01-22,Monitor 27inch,North America,Retail,27,399.99,10799.73,6750.0,4049.73,37.5
2025-01-22,Wireless Mouse,North America,Enterprise,33,29.99,989.67,396.0,593.67,59.99
2025-01-22,Portable SSD 1TB,North America,Enterprise,19,129.99,2469.81,1520.0,949.81,38.46
2025-01-25,Desk Lamp LED,North America,Retail,30,39.99,1199.7,540.0,659.7,54.99
2025-01-25,Noise-Canceling Headphones,Asia,Partner,24,299.99,7199.76,3600.0,3599.76,50.0
2025-01-26,USB-C Hub,Europe,Enterprise,31,49.99,1549.69,682.0,867.69,55.99
2025-01-27,USB-C Hub,North America,Online,26,49.99,1299.74,572.0,727.74,55.99
2025-01-28,Noise-Canceling Headphones,North America,Retail,28,299.99,8399.72,4200.0,4199.72,50.0
2025-01-28,USB-C Hub,Australia,Retail,12,49.99,599.88,264.0,335.88,55.99
2025-01-28,Portable SSD 1TB,South America,Partner,15,129.99,1949.85,1200.0,749.85,38.46
2025-01-28,Ergonomic Chair,South America,Retail,8,449.99,3599.92,2240.0,1359.92,37.78
2025-01-28,Portable SSD 1TB,South America,Online,22,129.99,2859.78,1760.0,1099.78,38.46
2025-02-06,Desk Lamp LED,South America,Partner,49,39.99,1959.51,882.0,1077.51,54.99
2025-02-06,Noise-Canceling Headphones,North America,Enterprise,7,299.99,2099.93,1050.0,1049.93,50.0
2025-02-11,Noise-Canceling Headphones,South America,Retail,6,299.99,1799.94,900.0,899.94,50.0
2025-02-11,HD Webcam,North America,Enterprise,16,89.99,1439.84,720.0,719.84,49.99
2025-02-11,Monitor 27inch,North America,Online,2,399.99,799.98,500.0,299.98,37.5
2025-02-11,USB-C Hub,Asia,Online,10,49.99,499.9,220.0,279.9,55.99
2025-02-12,Noise-Canceling Headphones,North America,Retail,33,299.99,9899.67,4950.0,4949.67,50.0
2025-02-12,HD Webcam,South America,Online,11,89.99,989.89,495.0,494.89,49.99
2025-02-15,USB-C Hub,Asia,Partner,16,49.99,799.84,352.0,447.84,55.99
2025-02-15,Laptop Pro,Europe,Retail,32,1299.99,41599.68,30400.0,11199.68,26.92
2025-02-16,Noise-Canceling Headphones,Australia,Retail,25,299.99,7499.75,3750.0,3749.75,50.0
2025-02-16,Ergonomic Chair,Australia,Retail,24,449.99,10799.76,6720.0,4079.76,37.78
2025-02-16,Portable SSD 1TB,North America,Retail,45,129.99,5849.55,3600.0,2249.55,38.46
2025-02-17,Monitor 27inch,Europe,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-02-17,USB-C Hub,Australia,Partner,38,49.99,1899.62,836.0,1063.62,55.99
2025-02-17,USB-C Hub,Europe,Partner,47,49.99,2349.53,1034.0,1315.53,55.99
2025-02-18,Ergonomic Chair,Europe,Retail,50,449.99,22499.5,14000.0,8499.5,37.78
2025-02-18,Desk Lamp LED,South America,Retail,31,39.99,1239.69,558.0,681.69,54.99
2025-02-18,Noise-Canceling Headphones,North America,Partner,16,299.99,4799.84,2400.0,2399.84,50.0
2025-02-18,Desk Lamp LED,Australia,Retail,8,39.99,319.92,144.0,175.92,54.99
2025-02-18,HD Webcam,Asia,Online,22,89.99,1979.78,990.0,989.78,49.99
2025-02-18,Noise-Canceling Headphones,Australia,Partner,21,299.99,6299.79,3150.0,3149.79,50.0
2025-02-21,Desk Lamp LED,South America,Retail,29,39.99,1159.71,522.0,637.71,54.99
2025-02-21,Noise-Canceling Headphones,North America,Online,29,299.99,8699.71,4350.0,4349.71,50.0
2025-02-21,Mechanical Keyboard,North America,Retail,5,149.99,749.95,375.0,374.95,50.0
2025-02-21,Wireless Mouse,Australia,Retail,11,29.99,329.89,132.0,197.89,59.99
2025-02-22,Mechanical Keyboard,South America,Online,29,149.99,4349.71,2175.0,2174.71,50.0
2025-02-23,Wireless Mouse,Europe,Enterprise,21,29.99,629.79,252.0,377.79,59.99
2025-02-26,Wireless Mouse,Asia,Enterprise,11,29.99,329.89,132.0,197.89,59.99
2025-02-26,USB-C Hub,Australia,Retail,30,49.99,1499.7,660.0,839.7,55.99
2025-02-27,Portable SSD 1TB,Europe,Enterprise,36,129.99,4679.64,2880.0,1799.64,38.46
2025-02-27,Mechanical Keyboard,Europe,Partner,2,149.99,299.98,150.0,149.98,50.0
2025-02-28,USB-C Hub,Europe,Retail,28,49.99,1399.72,616.0,783.72,55.99
2025-03-01,Desk Lamp LED,South America,Retail,10,39.99,399.9,180.0,219.9,54.99
2025-03-02,Laptop Pro,Australia,Enterprise,36,1299.99,46799.64,34200.0,12599.64,26.92
2025-03-02,Monitor 27inch,Australia,Enterprise,16,399.99,6399.84,4000.0,2399.84,37.5
2025-03-03,Desk Lamp LED,Europe,Partner,49,39.99,1959.51,882.0,1077.51,54.99
2025-03-03,Laptop Pro,Europe,Online,46,1299.99,59799.54,43700.0,16099.54,26.92
2025-03-03,Monitor 27inch,North America,Online,48,399.99,19199.52,12000.0,7199.52,37.5
2025-03-03,Noise-Canceling Headphones,North America,Enterprise,48,299.99,14399.52,7200.0,7199.52,50.0
2025-03-04,Ergonomic Chair,South America,Partner,26,449.99,11699.74,7280.0,4419.74,37.78
2025-03-05,Wireless Mouse,Australia,Online,50,29.99,1499.5,600.0,899.5,59.99
2025-03-06,Desk Lamp LED,North America,Retail,28,39.99,1119.72,504.0,615.72,54.99
2025-03-08,Wireless Mouse,North America,Retail,30,29.99,899.7,360.0,539.7,59.99
2025-03-08,Portable SSD 1TB,North America,Online,3,129.99,389.97,240.0,149.97,38.46
2025-03-09,Laptop Pro,Asia,Enterprise,37,1299.99,48099.63,35150.0,12949.63,26.92
2025-03-09,Portable SSD 1TB,Europe,Enterprise,1,129.99,129.99,80.0,49.99,38.46
2025-03-13,Mechanical Keyboard,Europe,Online,9,149.99,1349.91,675.0,674.91,50.0
2025-03-15,Noise-Canceling Headphones,Europe,Retail,36,299.99,10799.64,5400.0,5399.64,50.0
2025-03-15,HD Webcam,South America,Enterprise,15,89.99,1349.85,675.0,674.85,49.99
2025-03-15,Ergonomic Chair,Australia,Partner,25,449.99,11249.75,7000.0,4249.75,37.78
2025-03-15,Wireless Mouse,North America,Retail,28,29.99,839.72,336.0,503.72,59.99
2025-03-16,Laptop Pro,South America,Partner,18,1299.99,23399.82,17100.0,6299.82,26.92
2025-03-16,Portable SSD 1TB,South America,Partner,34,129.99,4419.66,2720.0,1699.66,38.46
2025-03-17,Laptop Pro,North America,Retail,21,1299.99,27299.79,19950.0,7349.79,26.92
2025-03-17,HD Webcam,South America,Online,39,89.99,3509.61,1755.0,1754.61,49.99
2025-03-18,Laptop Pro,North America,Retail,18,1299.99,23399.82,17100.0,6299.82,26.92
2025-03-18,Desk Lamp LED,Asia,Partner,10,39.99,399.9,180.0,219.9,54.99
2025-03-18,Noise-Canceling Headphones,North America,Enterprise,6,299.99,1799.94,900.0,899.94,50.0
2025-03-18,USB-C Hub,South America,Retail,48,49.99,2399.52,1056.0,1343.52,55.99
2025-03-20,Portable SSD 1TB,North America,Partner,20,129.99,2599.8,1600.0,999.8,38.46
2025-03-22,Portable SSD 1TB,North America,Enterprise,3,129.99,389.97,240.0,149.97,38.46
2025-03-22,Monitor 27inch,Australia,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-03-23,HD Webcam,Australia,Online,14,89.99,1259.86,630.0,629.86,49.99
2025-03-23,Portable SSD 1TB,North America,Partner,32,129.99,4159.68,2560.0,1599.68,38.46
2025-03-23,USB-C Hub,Asia,Enterprise,28,49.99,1399.72,616.0,783.72,55.99
2025-03-23,USB-C Hub,Europe,Enterprise,36,49.99,1799.64,792.0,1007.64,55.99
2025-03-24,Portable SSD 1TB,Asia,Enterprise,19,129.99,2469.81,1520.0,949.81,38.46
2025-03-27,HD Webcam,Australia,Partner,49,89.99,4409.51,2205.0,2204.51,49.99
2025-03-27,HD Webcam,North America,Enterprise,9,89.99,809.91,405.0,404.91,49.99
2025-03-27,Noise-Canceling Headphones,Europe,Enterprise,34,299.99,10199.66,5100.0,5099.66,50.0
2025-03-28,Portable SSD 1TB,Europe,Partner,34,129.99,4419.66,2720.0,1699.66,38.46
2025-03-28,Desk Lamp LED,South America,Enterprise,30,39.99,1199.7,540.0,659.7,54.99
2025-03-31,Ergonomic Chair,Asia,Partner,34,449.99,15299.66,9520.0,5779.66,37.78
2025-03-31,Mechanical Keyboard,Australia,Retail,48,149.99,7199.52,3600.0,3599.52,50.0
2025-04-01,Noise-Canceling Headphones,Australia,Online,1,299.99,299.99,150.0,149.99,50.0
2025-04-03,Desk Lamp LED,Australia,Enterprise,50,39.99,1999.5,900.0,1099.5,54.99
2025-04-03,Laptop Pro,Europe,Retail,47,1299.99,61099.53,44650.0,16449.53,26.92
2025-04-03,Ergonomic Chair,Asia,Partner,34,449.99,15299.66,9520.0,5779.66,37.78
2025-04-03,Mechanical Keyboard,Australia,Online,10,149.99,1499.9,750.0,749.9,50.0
2025-04-04,Laptop Pro,Australia,Enterprise,16,1299.99,20799.84,15200.0,5599.84,26.92
2025-04-05,Laptop Pro,North America,Retail,48,1299.99,62399.52,45600.0,16799.52,26.92
2025-04-06,Desk Lamp LED,Europe,Enterprise,41,39.99,1639.59,738.0,901.59,54.99
2025-04-06,Monitor 27inch,Australia,Online,19,399.99,7599.81,4750.0,2849.81,37.5
2025-04-06,HD Webcam,Asia,Online,15,89.99,1349.85,675.0,674.85,49.99
2025-04-07,USB-C Hub,North America,Partner,46,49.99,2299.54,1012.0,1287.54,55.99
2025-04-07,Desk Lamp LED,South America,Online,47,39.99,1879.53,846.0,1033.53,54.99
2025-04-08,Desk Lamp LED,North America,Online,31,39.99,1239.69,558.0,681.69,54.99
2025-04-09,Laptop Pro,Europe,Online,9,1299.99,11699.91,8550.0,3149.91,26.92
2025-04-10,Desk Lamp LED,Asia,Online,30,39.99,1199.7,540.0,659.7,54.99
2025-04-11,Portable SSD 1TB,Europe,Online,18,129.99,2339.82,1440.0,899.82,38.46
2025-04-12,Noise-Canceling Headphones,Asia,Retail,42,299.99,12599.58,6300.0,6299.58,50.0
2025-04-13,Noise-Canceling Headphones,Europe,Retail,24,299.99,7199.76,3600.0,3599.76,50.0
2025-04-13,HD Webcam,Asia,Online,14,89.99,1259.86,630.0,629.86,49.99
2025-04-16,HD Webcam,North America,Partner,47,89.99,4229.53,2115.0,2114.53,49.99
2025-04-18,Portable SSD 1TB,Asia,Enterprise,47,129.99,6109.53,3760.0,2349.53,38.46
2025-04-20,Wireless Mouse,Australia,Online,15,29.99,449.85,180.0,269.85,59.99
2025-04-20,Ergonomic Chair,Asia,Retail,30,449.99,13499.7,8400.0,5099.7,37.78
2025-04-21,Ergonomic Chair,South America,Retail,16,449.99,7199.84,4480.0,2719.84,37.78
2025-04-21,Desk Lamp LED,North America,Partner,36,39.99,1439.64,648.0,791.64,54.99
2025-04-22,USB-C Hub,South America,Enterprise,17,49.99,849.83,374.0,475.83,55.99
2025-04-23,Portable SSD 1TB,Asia,Enterprise,3,129.99,389.97,240.0,149.97,38.46
2025-04-23,Noise-Canceling Headphones,Australia,Online,14,299.99,4199.86,2100.0,2099.86,50.0
2025-04-24,USB-C Hub,North America,Enterprise,49,49.99,2449.51,1078.0,1371.51,55.99
2025-04-24,Wireless Mouse,Australia,Enterprise,8,29.99,239.92,96.0,143.92,59.99
2025-04-25,Wireless Mouse,North America,Partner,44,29.99,1319.56,528.0,791.56,59.99
2025-04-26,Mechanical Keyboard,Asia,Retail,15,149.99,2249.85,1125.0,1124.85,50.0
2025-04-28,Noise-Canceling Headphones,Asia,Online,26,299.99,7799.74,3900.0,3899.74,50.0
2025-04-29,Mechanical Keyboard,North America,Enterprise,13,149.99,1949.87,975.0,974.87,50.0
2025-04-29,Portable SSD 1TB,Europe,Partner,50,129.99,6499.5,4000.0,2499.5,38.46
2025-04-30,USB-C Hub,South America,Online,43,49.99,2149.57,946.0,1203.57,55.99
2025-04-30,Monitor 27inch,South America,Online,47,399.99,18799.53,11750.0,7049.53,37.5
2025-05-04,Wireless Mouse,Asia,Online,1,29.99,29.99,12.0,17.99,59.99
2025-05-04,Mechanical Keyboard,North America,Enterprise,22,149.99,3299.78,1650.0,1649.78,50.0
2025-05-06,HD Webcam,South America,Online,24,89.99,2159.76,1080.0,1079.76,49.99
2025-05-06,Laptop Pro,Europe,Online,37,1299.99,48099.63,35150.0,12949.63,26.92
2025-05-06,Noise-Canceling Headphones,North America,Online,2,299.99,599.98,300.0,299.98,50.0
